OldName,Correction
Carboplatin 6th,Carboplatin
Carboplatin and Paclitaxel,Carboplatin+Paclitaxel
Carboplatin Paclitaxel,Carboplatin+Paclitaxel
"Carboplatin, Taxol",Carboplatin+Paclitaxel
Carboplatin/Paclitaxel,Carboplatin+Paclitaxel
Carboplatin/Paclitaxel/Bevacizumab,Carboplatin+Paclitaxel+Bevacizumab
Carboplatin_Paclitaxel,Carboplatin+Paclitaxel
carboplatinum,Carboplatin
Carboplatinum,Carboplatin
CarboPlatinum,Carboplatin
Carbplatin,Carboplatin
Carmustin,Carmustine
Carmustine,Carmustine
Carmustine (BCNU),Carmustine
Carmustine BCNU,Carmustine
casodex,Bicalutamide
Casodex,Bicalutamide
Catumaxumab,Catumaxomab
CAV Trial,Cyclophosphamide+Dactinomycin+Vincristine 
CBP501,CBP501
CCDP,Cisplatin 
CCNu,Lomustine
CCNU,Lomustine
CDDP,Cisplatin
CDR0000654697,NOS 
Cediranib,Cediranib
Cediranib Placebo,Cediranib
CeeNU,Lomustine
Celebrex,Celecoxib
CEP 11981,CEP -11981
Cepecitabine,Capecitabine
cetuximab,Cetuximab
Cetuximab,Cetuximab
CETUXimab,Cetuximab
Cetuximab Study drug,Cetuximab
"Chemo, Multi-Agent, NOS",NOS
"Chemo, NOS",NOS
Chlorambucil,Chlorambucil
CHOP,Cyclophosphamide+Doxorubicin+Vincristine+Prednisone
ciclofosfamida,Cyclophosphamide 
Ciclosporin,Cyclosporine
Cilengitide,Cilengitide
Cilengtide,Cilengitide
Ciplastin,Cisplatin
cis-retinoic acid,Isotretinoin  
Cis Retinoic Acid,Isotretinoin
CIS Retinoic Acid,Isotretinoin
cisplatim,Cisplatin
cisplatin,Cisplatin
Cisplatin,Cisplatin
CISPLATIN,Cisplatin
Cisplatin-xrt,Cisplatin
Cisplatin #2-7,Cisplatin
"Cisplatin, pemetrexed",Cisplatin+Pemetrexed
Cisplatin/Etoposide,Cisplatin+Etoposide
Cisplatin/Gemzar,Cisplatin+Gemcitabine
cisplatinum,Cisplatin
Cisplatinum,Cisplatin
CISplatinum,Cisplatin
CISPLATINUM,Cisplatin
Cisplatnin,Cisplatin
Clinical trial,NOS
Clinical Trial,NOS
Clinical Trial-Study Agent,NOS
clodronate,Clodronate
Clodronate,Clodronate
clodronic acid,Clodronate
Cloretazine,Laromustine
Copolang,Cyclophosphamide+Polysaccharide-K
COPOLANG CAPS,Cyclophosphamide+Polysaccharide-K
CPT-11,Irinotecan
CPT 11,Irinotecan
CPT11,Irinotecan
CRA,Isotretinoin
CT2103 Taxane Analog,Paclitaxel
CVAD,Cyclophosphamide+Vincristine+Doxorubicin+Dexamethasone 
CYC-116/Cyclocel,Cyclophosphamide+CYC116
Cyclophasphamide,Cyclophosphamide
Cyclophospamide,Cyclophosphamide
cyclophosphamid,Cyclophosphamide
cyclophosphamide,Cyclophosphamide
Cyclophosphamide,Cyclophosphamide
CYCLOPHOSPHAMIDE,Cyclophosphamide
"cyclophosphamide, vincristine, and dacarbazine",Cyclophosphamide+Vincristine+Dacarbazine
cyclophosphamide+methotrexatum+fluorouracillum,Cyclophosphamide+Methotrexatum+Fluorouracil
cyclophosphamidum,Cyclophosphamide
Cyclophosphane,Cyclophosphamide
Cyotxan,Cyclophosphamide
cytarabine,Cytarabine
CYTARABINE,Cytarabine
cytomel,Liothyronine
Cytomel,Liothyronine
cytoxan,Cyclophosphamide
Cytoxan,Cyclophosphamide
CYTOXAN,Cyclophosphamide
Cytoxan and Taxotere,Cyclophosphamide+Docetaxel
"Cytoxan, vincristine and dacarbazine",Cyclophosphamide+Vincristine+Dacarbazine
Cytoxen,Cyclophosphamide
Cytoxin,Cyclophosphamide
Dabrafenib,Dabrafenib
Dacabarzine,Dacarbazine
dacarbazine,Dacarbazine
Dacarbazine,Dacarbazine
Dacarbazine (DTIC),Dacarbazine
dasatinib,Dasatinib
Dasatinib,Dasatinib
decadron,Dexamethasone
Decodron,Dexamethasone
degarelix,Degarelix
Denosumab,Denosumab
dexamethasone,Dexamethasone
Dexamethasone,Dexamethasone
DEXAMETHASONE,Dexamethasone
Dexamethasone phosphate,Dexamethasone
Didox,Didox
Diphencyprone,Diphencyprone
docetaxel,Docetaxel
Docetaxel,Docetaxel
DOCETAXEL,Docetaxel
Docetaxel +/- Zactima,Docetaxel+Vandetanib
Docetaxelum,Docetaxel
Docetoxel/Taxotere,Docetaxel
Doxetaxel,Docetaxel
Doxetaxol,Docetaxel
Doxifluridin,Doxifluridine
Doxifluridine,Doxifluridine
doxil,Doxorubicin
Doxil,Doxorubicin
Doxil & Carboplatin,Doxorubicin+Carboplatin
Doxirubicin,Doxorubicin
Doxobubicin,Doxorubicin
doxorubicin,Doxorubicin
Doxorubicin,Doxorubicin
DOXORUBICIN,Doxorubicin
Doxorubicin HCI Liiposomal,Doxorubicin
Doxorubicin HCI Lipsome,Doxorubicin
doxorubicin HCL,Doxorubicin
Doxorubicin HCL,Doxorubicin
Doxorubicin HCl Liposomal,Doxorubicin
Doxorubicin HCL Liposomal,Doxorubicin
Doxorubicin HCL Liposomal -Doxil,Doxorubicin
Doxorubicin Liposome,Doxorubicin
doxorubicin+ cyclophosphamide,Doxorubicin+Cyclophosphamide
doxorubicin+cyclophosphamid,Doxorubicin+Cyclophosphamide
doxorubicina,Doxorubicin
doxorubicine,Doxorubicin
doxorubicine cyclophosphamide tamoxifen,Doxorubicin+Cyclophosphamide+Tamoxifen
doxorubicine+cyclophosphamide,Doxorubicin+Cyclophosphamide
doxorubicine+cyclophosphamide+tamoxifen,Doxorubicin+Cyclophosphamide+Tamoxifen
Doxorubicinum,Doxorubicin
Doxorubincin HCL,Doxorubicin
DS-8273a,DS-8273a
DTIC,Dacarbazine
"DTIC, Dacarbazine",Dacarbazine
E-75,Nelipepimut-S
Eligard,Leuprolide
Eloxatin,Oxaliplatin
Eloxatin(oxaliplatin),Oxaliplatin
EMD,NOS 
Enoticumab,REGN421
epirubicin,Epirubicin
Epirubicin,Epirubicin
epirubicinum,Epirubicin
Epirubicoin,Epirubicin
EPOCH,Etoposide+Prednisone+Vincristine+Doxorubicin
erbitux,Cetuximab
Erbitux,Cetuximab
ERBITUX,Cetuximab
Eribulin,Eribulin
Erlotinib,Erlotinib
Erlotonib,Erlotinib
Erythropoietin,Epoetin
ET-743,Trabectedin
ETC Posidum,Etoposide 
Etoposid,Etoposide
etoposide,Etoposide
Etoposide,Etoposide
ETOPOSIDE,Etoposide
etoposide (VP-16),Etoposide
Etoposide (VP16),Etoposide
Etoposide phosphate,Etoposide
Etopside,Etoposide
everolimus,Everolimus
Everolimus,Everolimus
EVERolimus,Everolimus
"Everolimus, Gemcitabine, and Cisplatin",Everolimus+Gemcitabine+Cisplatin
Exemestane,Exemestane
EXEMESTANE,Exemestane
EXEMESTANE (AROMASIN),Exemestane
EZN-2968,EZN-2968
Fareston,Toremifene
faslodex,Fulvestrant
Faslodex,Fulvestrant
femara,Letrozole
Femara,Letrozole
FEMARA,Letrozole
Femara (Letrozole),Letrozole
Filgrastim (G-CSF),Filgrastim
Firmagon,Degarelix
FLC,NOS
FLOUROURACIL,Fluorouracil
Floxuridine,Fluorouracil
fluorouracil,Fluorouracil
Fluorouracil,Fluorouracil
FLUOROURACIL,Fluorouracil
Fluorouracil (5-FU),Fluorouracil
Fluorouracil IV Continuous infusion over 46 hours,Fluorouracil
fluorouracilum,Fluorouracil
Fluorouracilum,Fluorouracil
Fluoruracil,Fluorouracil
Folfiri,Leucovorin+Fluorouracil+Irinotecan
FOLFIRI,Leucovorin+Fluorouracil+Irinotecan
FOLFIRI/Avastin,Leucovorin+Fluorouracil+Irinotecan+Bevacizumab
Folfox,Leucovorin+Fluorouracil+Oxaliplatin
FolFox,Leucovorin+Fluorouracil+Oxaliplatin
FOLFOX,Leucovorin+Fluorouracil+Oxaliplatin
folinic acid,Leucovorin
Folinic acid,Leucovorin
Folinic Acid,Leucovorin
fosaprepitant,Fosaprepitant
fotemustine,Fotemustine
Fotemustine,Fotemustine
FU7,NOS
FUDR (Floxuridine),Floxuridine
Fuluestrant,Fulvestrant
fulvestrant,Fulvestrant
Fulvestrant,Fulvestrant
FULVESTRANT,Fulvestrant
Fulvestrant (Faslodex),Fulvestrant
Gaminocamptothecin,Aminocamptothecin 
Gamzar,Gemcitabine
GDC-0980,GDC-0980
Gefitinib,gefitinib
Gemar,Gemcitabine
gemcitabine,Gemcitabine
Gemcitabine,Gemcitabine
GEMCITABINE,Gemcitabine
Gemcitabine (Gemzar),Gemcitabine
Gemcitabine and Cisplatin,Gemcitabine+Cisplatin
Gemcitabine HCI,Gemcitabine
gemcitabine HCL,Gemcitabine
Gemcitabine HCL,Gemcitabine
Gemcitabine Injection,Gemcitabine
Gemcitibane,Gemcitabine
Gemcitibine,Gemcitabine
Gemicitabine,Gemcitabine
GEMICTIABINE,Gemcitabine
Gemox,Gemcitabine+Oxaliplatin
Gemzan,Gemcitabine
gemzar,Gemcitabine
Gemzar,Gemcitabine
GEMZAR,Gemcitabine
Gemzar (Gemcitabine),Gemcitabine
Gemzet,Gemcitabine
Gezmar,Gemcitabine
GL-ONC1,GL-ONC1
Gleevec,Imatinib
Gliadel,Carmustine
Gliadel Wafer,Carmustine
Gliadel wafers,Carmustine
Gliadel Wafers,Carmustine
GM-CSF,Sargramostim
GOG 218,GOG 218
GOG182,GOG 182
Gomzar,Gemcitabine
Goserelin,Goserelin
GP-100,GP100
GP100,GP100
GSK Braf Inhibitor,Dabrafenib
Halaven,Eribulin
Halichondrin,Halichondrin B
Halichondrin B,Halichondrin B
HEC.1 - Sorafenib vs Sorafenib plus Doxorubicin,HEC.1
herceptin,Trastuzumab
Herceptin,Trastuzumab
HERCEPTIN,Trastuzumab
Hexalen,Altretamine
Hexalin,Altretamine
Hexamethylmelamine,Altretamine
Hexamethymelamine,Altretamine
High dose ara-c,Cytarabine
High dose Methotrexate w/ Leucovorin,Methotrexate+Leucovorin
"Hormone, NOS",NOS
HSC vaccine injection,NOS
Hydoxyurea,Hydroxyurea
Hydrocortisone,Hydrocortisone
Hydroxydaunomycin,Doxorubicin
Hydroxyurea,Hydroxyurea
Hydroyurea,Hydroxyurea
I 131 81C6,81C6
I131-81C6,81C6
Ibandronate,Ibandronate
ICE,Ifosfamide+Carboplatin+Etoposide
Ifex,Ifosfamide
IFN-Alpha (Intron),Interferon A
Ifosfamid,Ifosfamide
ifosfamide,Ifosfamide
Ifosfamide,Ifosfamide
IFOSFAMIDE,Ifosfamide
Ifostamide,Ifosfamide
IL-13PE,Cintredekin
IL-18,Interleukin-18 
IL-2,Aldesleukin
IL-2 (high dose),Aldesleukin
IL-2 Therapy (interleukin),Aldesleukin
IL 12,Interleukin-12
IL 2,Aldesleukin
IL2,Aldesleukin
imatinib,Imatinib
Imatinib,Imatinib
IMC-A12,Cixutumumab
Imiquimod,Imiquimod
INF,Infliximab
interferon,NOS
Interferon,NOS
Interferon-?2,Aldesleukin
Interferon-alfa,Interferon A
interferon-alpha,Interferon A
Interferon alfa,Interferon A
Interferon alfa-2b,Interferon A
interferon alpha,Interferon A
Interferon alpha,Interferon A
Interferon Alpha,Interferon A
Interferon gamma,Interferon G
Interleukin-12,Interleukin-12
interleukin-2,Aldesleukin
Interleukin-2,Aldesleukin
Interleukin - 2,Aldesleukin
Interleukin 2-high dose,Aldesleukin
intrathecal methotrexate,Methotrexate
Intrathecal Methotrexate,Methotrexate
intron a,Interferon A
Intron A,Interferon A
Investigal drug Avastin,Bevacizumab
ipilimumab,Ipilimumab
Ipilimumab,Ipilimumab
Iressa,Gefitinib
IRESSA,Gefitinib
IRESSA placebo vs. drug,Gefitinib 
irinotecan,Irinotecan
Irinotecan,Irinotecan
Irinotecan + Cetuximab,Irinotecan+Cetuximab
Irinotecan HCl,Irinotecan
Irinotecan HCL,Irinotecan
IRINOtecan HCl,Irinotecan
Irinotecan Hydrochloride,Irinotecan
IRINOTECAN+5-fluorouracilim,Irinotecan+Fluorouracil
Irintotecan,Irinotecan
Irolfluvin,Irofulven
Ironotecan,Irinotecan
Irressa,Gefitinib
Isotrectinoin (acccutane),Isotretinoin
Isotretinoin,Isotretinoin
Ixabepilone,Ixabepilone
IXABEPILONE,Ixabepilone
jevtana,Cabazitaxel
Karenitecin,Karenitecin
Karerltecin,Karenitecin
ketoconazole,Ketoconazole
Ketoconazole,Ketoconazole
Laferon,Interferon A
lapatinib,Lapatinib
Lapatinib,Lapatinib
Letrozol,Letrozole
letrozole,Letrozole
Letrozole,Letrozole
LETROZOLE,Letrozole
Letrozole (Femara),Letrozole
LETROZOLE (FEMARA),Letrozole
letrozole femara,Letrozole
letrozolum,Letrozole
leucovorin,Leucovorin
Leucovorin,Leucovorin
LEUCOVORIN,Leucovorin
leucovorin calcium,Leucovorin
Leucovorin calcium,Leucovorin
Leucovorin Calcium,Leucovorin
Leukine,Sargramostim
Leuocvorin,Leucovorin
leuprolide,Leuprolide
Leuprolide,Leuprolide
Leuprolide acetate,Leuprolide
Leuprolide Acetate,Leuprolide
LEUPROLIDE ACETATE (LUPRON),Leuprolide
Leuprorelin,Leuprolide
Levcovorin,Leucovorin
Levothroid,Levothyroxine
levothyroxine,Levothyroxine
Levothyroxine,Levothyroxine
levoxyl,Levothyroxine
Levoxyl,Levothyroxine
LHRH Agonist,LHRH
LHRH Agonist and Anti-Androgens Combined Androgen Blockade,LHRH
Liosomal Docorubicin,Doxorubicin
Liposomal Doxorubican,Doxorubicin
Liposomal doxorubicin,Doxorubicin
Liposomal Doxorubicin,Doxorubicin
Lomustin,Lomustine
lomustine,Lomustine
Lomustine,Lomustine
LOMUSTINE,Lomustine
Lomustine (CCNU),Lomustine
LOMUSTINE (CCNU),Lomustine
Luprolide Depot,Leuprolide
lupron,Leuprolide
Lupron,Leuprolide
LUPRON,Leuprolide
LY228820,LY228820
Lymphocyte Infusion,NOS
MAGE-3,MAGE-3
Mage A3,MAGE-A3
MAGI131-81c6,81C6
Mayo 425-20,NOS
MDX-1106 clinical trial,Nivolumab
Medrol,Methylprednisolone
Megace,Megestrol
MEGACE,Megestrol
Megace (oral),Megestrol
Megestrol Acetate,Megestrol
MEL-44,Sargramostim 
melphalan,Melphalan
Melphalan,Melphalan
Melphalon,Melphalan
Mesna,Mesna 
MESNA,Mesna
MESNA-1,Mesna
MESNA-2,Mesna
Metformin,Metformin
methotrexate,Methotrexate
Methotrexate,Methotrexate
METHOTREXATE,Methotrexate
methotrexate+5 fluorouracil+cyclophosphamide,Methotrexate+Fluorouracil+Cyclophosphamide
metilprednisona,Methylprednisolone
metotreksat,Methotrexate
MGI 114,Irofulven
Mibefradil,mibefradil
Micomycin,Mitomycin C
Mithramycin,Plicamycin
Mitomycin,Mitomycin C
Mitomycin C,Mitomycin C
mitotane,Mitotane
Mitoxantrone,Mitoxantrone
MK2206,MK2206
MLN8237,Alisertib
MORAb-004,MORAb-004
MR1-1,MR1-1
Mustophoran,Fotemustine
nab-rapamycin,Rapamycin
navelbine,Vinorelbine
Navelbine,Vinorelbine
NAVELBINE,Vinorelbine
Naxavar,Sorafenib
neulasta,Pegfilgrastim
Neulasta,Pegfilgrastim
NEULASTA,Pegfilgrastim
Nexavaar,Sorafenib
Nexavar,Sorafenib
Nilutamide,Nilutamide
Nimustine,Nimustine
nivolumab,Nivolumab
Nivolumab,Nivolumab
nolvadex,Tamoxifen
Nolvadex,Tamoxifen
Not otherwise specified,NOS
Not specified,NOS
O-ICE,Ifosfamide+Carboplatin+Etoposide 
Oca Rex Oregovomab,Oregovomab
Ofatumumab,Ofatumumab
Oncophage,Vitespen
oncophage vaccine,Vitespen
Oncovin,Vincristine
ONYX-015,ONYX-015
Oral Etoposide,Etoposide
Ovarex MA6 B43.13,Oregovomab
Ovarex Study,Oregovomab
Ovarex/IND,Oregovomab
Ovarex/placebo,Oregovomab
Ovarex/Placebo,Oregovomab
oxaliplatin,Oxaliplatin
Oxaliplatin,Oxaliplatin
OXALIPLATIN,Oxaliplatin
"Oxaliplatin, Folinic acid, Fluorouracil",Oxaliplatin+Leucovorin+Fluorouracil
Oxaliplatinum,Oxaliplatin
oxaliplatinum + 5-FU,Oxaliplatin+Fluorouracil
oxaliplatinum+ 5-FU,Oxaliplatin+Fluorouracil
oxaliplatinum+5-FU,Oxaliplatin+Fluorouracil
oxaliplatinum+5 fluorouracilum,Oxaliplatin+Fluorouracil
Oxaloplatin,Oxaliplatin
Pacilatxel,Paclitaxel
Paciltaxal,Paclitaxel
Paciltaxel,Paclitaxel
Paciltaxle,Paclitaxel
Pacitaxel,Paclitaxel
Pacitaxol,Paclitaxel
Pacliatxel,Paclitaxel
Pacliltaxel,Paclitaxel
paclitaxel,Paclitaxel
Paclitaxel,Paclitaxel
PACLITAXEL,Paclitaxel
Paclitaxel (Protein-Bound),Paclitaxel
Paclitaxel; Albumin-Bount,Paclitaxel
paclitaxelum,Paclitaxel
Paclitaxil,Paclitaxel
Paclitaxol,Paclitaxel
Palixtaxel,Paclitaxel
Pamidronate,Pamidronate
Pamidronic acid,Pamidronate
panitumumab,Panitumumab
Panitumumab,Panitumumab
Paraplatin,Carboplatin
PARAPLATIN,Carboplatin
Patrin,Lomeguatrib 
Patupilone,Patupilone
pazopanib,Pazopanib
Pazopanib,Pazopanib
PCV,Procarbazine+Lomustine+Vincristine
PD 0332991,Palbociclib
Pegfilgrastim,Pegfilgrastim
Pegfilgrastim (Peg G-CSF),Pegfilgrastim
pembrolizumab,Pembrolizumab
Pembrolizumab,Pembrolizumab
pemetrexed,Pemetrexed
Pemetrexed,Pemetrexed
Pemetrexed (Alimta),Pemetrexed
pemetrexed disodium,Pemetrexed
Pemetrexed disodium,Pemetrexed
Perifosine,Perifosine
PI88,PI-88
Placebo,NOS
Platinol,Cisplatin
platinum,Platinum
Platinum,Platinum
PLFE,PLFE 
PLFE/FLO,PLFE+Leucovorin+Fluorouracil+Oxaliplatin
PNU-159548,PNU-159548
Poly E,Poly E 
Polyplatillen,Cisplatin
Porfimer Sodium (Photofin),Porfimer
Porfimer Sodium (Photofrin),Porfimer
Porfimer Sodium(Photofin),Porfimer
PORTEC3-radiation alone,NOS
Predisone,Prednisone
Prednisolone,Prednisolone
prednisona,Prednisone
Prednisone,Prednisone
premetrexed,Pemetrexed
procarbazine,Procarbazine
Procarbazine,Procarbazine
PROCARBAZINE,Procarbazine
Procarbizine,Procarbazine
Proleukin,Aldesleukin
proleukin (IL-2),Aldesleukin
Provera,Medroxyprogesterone
PS-341 Bortrezomib,Bortezomib
PSC833,Valspodar
PSMA DNA Vaccine,PSMA DNA Vaccine
PTK-ZK,Vatalanib
PV-10,PV-10
px-866,px-866
Pyrazinamide,Pyrazinamide
R1507,Teprotumumab
RAD001,Everolimus
raloxifene,Raloxifene
Raltitrexed,Raltitrexed
Ras Inhibitor,NOS 
RBBX 01,rBBX-01
rec MAGE 3-AS + AS15 ACS1 / Placebo Vaccine,MAGE-3-AS-AS15-ASCI
rec MAGE3-AS+AS15 ASCI vs Placebo,MAGE-3-AS-AS15-ASCI
recMAGE- A3,MAGE-A3
recMAGE3-AS+AS15 ASCI/Placebo vaccine,MAGE-3-AS-AS15-ASCI
recPRAME+AS15,GSK2302025A
recPRAME+AS15 ASCI,GSK2302025A
regorafenib,Regorafenib
Regorafenib,Regorafenib
RenAmin,Amino Acids 
Reolysin,Reolysin
Resiquimod,Resiquimod
Revlimid,Lenalidomide
Rhumab/Ind,NOS
rigosertib,Rigosertib
Rituxan,Rituximab 
rituximab,Rituximab
Rituximab,Rituximab
RITUXIMAB,Rituximab
Roferon-A,Interferon A 
SAHA/Vorinostat,Vorinostat
Sarafenib,Sorafenib
Sargramostin,Sargramostim
SCH 58500,SCH 58500
SNS 595,Vosaroxin
SOM 230,Pasireotide  
sorafenib,Sorafenib
Sorafenib,Sorafenib
SORAFENIB,Sorafenib
Sorafenib - Nexavar,Sorafenib
Sorafenib (Bay 43-9006),Sorafenib
Sorafinib ( Nexavar),Sorafenib
streptozocin,Streptozocin
Study drug AMG 655,Conatumumab
SU101,leflunomide
Sulindac,Sulindac
sunitinib,Sunitinib
Sunitinib,Sunitinib
sunitinib (sutent),Sunitinib
Suramin,Suramin
sutent,Sunitinib
Sutent,Sunitinib
SUTENT,Sunitinib
sutent (sunitinib),Sunitinib
Sutent (Sunitinib),Sunitinib
Sylatron,Peginterferon alfa-2a
synthroid,Levothyroxine
Synthroid,Levothyroxine
SYNTHROID,Levothyroxine
Talimogene Laherparepvec (T-VEC),Talimogene
tamoxifen,Tamoxifen
Tamoxifen,Tamoxifen
TAMOXIFEN,Tamoxifen
Tamoxifen & Megace,Tamoxifen+Megestrol
TAMOXIFEN (NOVADEX),Tamoxifen
tamoxifen citrate,Tamoxifen
tamoxiphen+anastrazolum,Tamoxifen+Anastrozole
tamoxiphene,Tamoxifen
tamoxiphene+anastrozolum,Tamoxifen+Anastrozole
tamoxiphene+leuporeline+gosereline,Tamoxifen+Leuprolide+Goserelin
Tamoxiten,Tamoxifen
Tanceva,Erlotinib
Tarceva,Erlotinib
TARCEVA,Erlotinib
Tarceva (Erlotinib),Erlotinib
Tarceva/Erlotinib,Erlotinib
Taxane,NOS 
Taxel,Paclitaxel
taxol,Paclitaxel
Taxol,Paclitaxel
TAXOL,Paclitaxel
Taxol or Taxotere,NOS
Taxol/Carboplatin,Paclitaxel+Carboplatin
taxol+adriamycin+cyclophosphamide+herceptin,Paclitaxel+Doxorubicin+Cyclophosphamide+Trastuzumab
taxotere,Docetaxel
Taxotere,Docetaxel
TAXOTERE,Docetaxel
Taxotere/Cytoxan,Docetaxel+Cyclophosphamide
